year,country_name,sexe,iso3,youth_unemployment_rate_pct,age_min,age_max
2015,Spain,T,ESP,25.9,15,24
2015,Spain,M,ESP,24.6,15,24
2015,Spain,F,ESP,27.2,15,24
2015,Spain,T,ESP,10.9,25,34
2015,Spain,M,ESP,10.3,25,34
2015,Spain,F,ESP,11.4,25,34
2015,Spain,T,ESP,8.5,35,44
2015,Spain,M,ESP,8.0,35,44
2015,Spain,F,ESP,8.9,35,44
2015,Spain,T,ESP,8.0,45,54
2015,Spain,M,ESP,7.6,45,54
2015,Spain,F,ESP,8.4,45,54
2015,Spain,T,ESP,9.3,55,64
2015,Spain,M,ESP,10.2,55,64
2015,Spain,F,ESP,8.4,55,64
2015,Spain,T,ESP,10.6,15,64
2015,Spain,M,ESP,10.1,15,64
2015,Spain,F,ESP,11.1,15,64
2015,Italy,T,ITA,21.1,15,24
2015,Italy,M,ITA,20.0,15,24
2015,Italy,F,ITA,22.1,15,24
2015,Italy,T,ITA,10.3,25,34
2015,Italy,M,ITA,9.8,25,34
2015,Italy,F,ITA,10.8,25,34
2015,Italy,T,ITA,6.3,35,44
2015,Italy,M,ITA,5.9,35,44
2015,Italy,F,ITA,6.6,35,44
2015,Italy,T,ITA,5.7,45,54
2015,Italy,M,ITA,5.4,45,54
2015,Italy,F,ITA,6.0,45,54
2015,Italy,T,ITA,4.5,55,64
2015,Italy,M,ITA,5.0,55,64
2015,Italy,F,ITA,4.1,55,64
2015,Italy,T,ITA,7.2,15,64
2015,Italy,M,ITA,6.8,15,64
2015,Italy,F,ITA,7.5,15,64
2015,Greece,T,GRC,19.6,15,24
2015,Greece,M,GRC,18.6,15,24
2015,Greece,F,GRC,20.6,15,24
2015,Greece,T,GRC,13.1,25,34
2015,Greece,M,GRC,12.4,25,34
2015,Greece,F,GRC,13.7,25,34
2015,Greece,T,GRC,9.3,35,44
2015,Greece,M,GRC,8.8,35,44
2015,Greece,F,GRC,9.8,35,44
2015,Greece,T,GRC,9.0,45,54
2015,Greece,M,GRC,8.6,45,54
2015,Greece,F,GRC,9.5,45,54
2015,Greece,T,GRC,7.7,55,64
2015,Greece,M,GRC,8.5,55,64
2015,Greece,F,GRC,7.0,55,64
2015,Greece,T,GRC,10.0,15,64
2015,Greece,M,GRC,9.5,15,64
2015,Greece,F,GRC,10.5,15,64
2015,France,T,FRA,15.7,15,24
2015,France,M,FRA,14.9,15,24
2015,France,F,FRA,16.5,15,24
2015,France,T,FRA,8.2,25,34
2015,France,M,FRA,7.8,25,34
2015,France,F,FRA,8.6,25,34
2015,France,T,FRA,6.3,35,44
2015,France,M,FRA,5.9,35,44
2015,France,F,FRA,6.6,35,44
2015,France,T,FRA,5.7,45,54
2015,France,M,FRA,5.4,45,54
2015,France,F,FRA,6.0,45,54
2015,France,T,FRA,5.3,55,64
2015,France,M,FRA,5.9,55,64
2015,France,F,FRA,4.8,55,64
2015,France,T,FRA,6.8,15,64
2015,France,M,FRA,6.5,15,64
2015,France,F,FRA,7.1,15,64
2015,Finland,T,FIN,15.5,15,24
2015,Finland,M,FIN,14.7,15,24
2015,Finland,F,FIN,16.2,15,24
2015,Finland,T,FIN,6.3,25,34
2015,Finland,M,FIN,6.0,25,34
2015,Finland,F,FIN,6.7,25,34
2015,Finland,T,FIN,4.7,35,44
2015,Finland,M,FIN,4.5,35,44
2015,Finland,F,FIN,4.9,35,44
2015,Finland,T,FIN,5.3,45,54
2015,Finland,M,FIN,5.1,45,54
2015,Finland,F,FIN,5.6,45,54
2015,Finland,T,FIN,5.7,55,64
2015,Finland,M,FIN,6.3,55,64
2015,Finland,F,FIN,5.1,55,64
2015,Finland,T,FIN,6.5,15,64
2015,Finland,M,FIN,6.2,15,64
2015,Finland,F,FIN,6.9,15,64
2015,Belgium,T,BEL,14.9,15,24
2015,Belgium,M,BEL,14.2,15,24
2015,Belgium,F,BEL,15.6,15,24
2015,Belgium,T,BEL,7.2,25,34
