year,country_name,sexe,iso3,youth_unemployment_rate_pct,age_min,age_max
2015,Spain,Male,ESP,24.6,15,24
2015,Spain,Female,ESP,27.2,15,24
2015,Spain,Male,ESP,10.3,25,34
2015,Spain,Female,ESP,11.4,25,34
2015,Spain,Male,ESP,8.0,35,44
2015,Spain,Female,ESP,8.9,35,44
2015,Spain,Male,ESP,7.6,45,54
2015,Spain,Female,ESP,8.4,45,54
2015,Spain,Male,ESP,10.2,55,64
2015,Spain,Female,ESP,8.4,55,64
2015,Spain,Male,ESP,10.1,15,64
2015,Spain,Female,ESP,11.1,15,64
2015,Italy,Male,ITA,20.0,15,24
2015,Italy,Female,ITA,22.1,15,24
2015,Italy,Male,ITA,9.8,25,34
2015,Italy,Female,ITA,10.8,25,34
2015,Italy,Male,ITA,5.9,35,44
2015,Italy,Female,ITA,6.6,35,44
2015,Italy,Male,ITA,5.4,45,54
2015,Italy,Female,ITA,6.0,45,54
2015,Italy,Male,ITA,5.0,55,64
2015,Italy,Female,ITA,4.1,55,64
2015,Italy,Male,ITA,6.8,15,64
2015,Italy,Female,ITA,7.5,15,64
2015,Greece,Male,GRC,18.6,15,24
2015,Greece,Female,GRC,20.6,15,24
2015,Greece,Male,GRC,12.4,25,34
2015,Greece,Female,GRC,13.7,25,34
2015,Greece,Male,GRC,8.8,35,44
2015,Greece,Female,GRC,9.8,35,44
2015,Greece,Male,GRC,8.6,45,54
2015,Greece,Female,GRC,9.5,45,54
2015,Greece,Male,GRC,8.5,55,64
2015,Greece,Female,GRC,7.0,55,64
2015,Greece,Male,GRC,9.5,15,64
2015,Greece,Female,GRC,10.5,15,64
2015,France,Male,FRA,14.9,15,24
2015,France,Female,FRA,16.5,15,24
2015,France,Male,FRA,7.8,25,34
2015,France,Female,FRA,8.6,25,34
2015,France,Male,FRA,5.9,35,44
2015,France,Female,FRA,6.6,35,44
2015,France,Male,FRA,5.4,45,54
2015,France,Female,FRA,6.0,45,54
2015,France,Male,FRA,5.9,55,64
2015,France,Female,FRA,4.8,55,64
2015,France,Male,FRA,6.5,15,64
2015,France,Female,FRA,7.1,15,64
