country_name,iso3,year,gdp_per_capita_usd,source
Albania,AL,2015,3981.72662261867,World Bank API
Albania,AL,2016,4168.37544462548,World Bank API
Albania,AL,2017,4614.0479692596,World Bank API
Albania,AL,2018,5365.48880180298,World Bank API
Albania,AL,2019,5460.4305086932,World Bank API
Albania,AL,2020,5370.77749956875,World Bank API
Albania,AL,2021,6413.28280828537,World Bank API
Albania,AL,2022,6846.42669381643,World Bank API
Albania,AL,2023,8575.17134637222,World Bank API
Albania,AL,2024,10011.6279856667,World Bank API
Austria,AT,2015,43915.228020857,World Bank API
Austria,AT,2016,45061.4993920192,World Bank API
Austria,AT,2017,47163.7425775142,World Bank API
Austria,AT,2018,51194.0749841299,World Bank API
Austria,AT,2019,49885.9947355204,World Bank API
Austria,AT,2020,48716.4098900349,World Bank API
Austria,AT,2021,53648.7190742245,World Bank API
Austria,AT,2022,52176.6649141178,World Bank API
Austria,AT,2023,56033.573792065,World Bank API
Austria,AT,2024,56833.1960472053,World Bank API
Belarus,BY,2015,5967.05595058777,World Bank API
Belarus,BY,2016,5039.77560949445,World Bank API
Belarus,BY,2017,5785.54491935194,World Bank API
Belarus,BY,2018,6360.037502312,World Bank API
Belarus,BY,2019,6837.77339645635,World Bank API
Belarus,BY,2020,6542.85579976768,World Bank API
Belarus,BY,2021,7489.71894713888,World Bank API
Belarus,BY,2022,7994.64806074889,World Bank API
Belarus,BY,2023,7896.75388295584,World Bank API
Belarus,BY,2024,8316.64776291533,World Bank API
Belgium,BE,2015,40893.804537772,World Bank API
Belgium,BE,2016,41854.5498296444,World Bank API
Belgium,BE,2017,44035.3239358548,World Bank API
Belgium,BE,2018,47487.2100392561,World Bank API
Belgium,BE,2019,46716.6227467964,World Bank API
Belgium,BE,2020,45906.2875805246,World Bank API
Belgium,BE,2021,51658.238294958,World Bank API
Belgium,BE,2022,50822.2518538518,World Bank API
Belgium,BE,2023,54690.0942734964,World Bank API
Belgium,BE,2024,55954.6106261018,World Bank API
Bosnia and Herzegovina,BA,2015,4662.25883724069,World Bank API
Bosnia and Herzegovina,BA,2016,4928.5665251728,World Bank API
Bosnia and Herzegovina,BA,2017,5345.01985489192,World Bank API
Bosnia and Herzegovina,BA,2018,6047.84584261133,World Bank API
Bosnia and Herzegovina,BA,2019,6122.3753450882,World Bank API
Bosnia and Herzegovina,BA,2020,6130.31133245161,World Bank API
Bosnia and Herzegovina,BA,2021,7295.3438240957,World Bank API
Bosnia and Herzegovina,BA,2022,7655.59421024383,World Bank API
Bosnia and Herzegovina,BA,2023,8663.02322987879,World Bank API
Bosnia and Herzegovina,BA,2024,8957.37294188215,World Bank API
Bulgaria,BG,2015,7268.65445473873,World Bank API
Bulgaria,BG,2016,7822.49923292968,World Bank API
Bulgaria,BG,2017,8696.68930427924,World Bank API
Bulgaria,BG,2018,9872.38507789106,World Bank API
Bulgaria,BG,2019,10372.8044341114,World Bank API
Bulgaria,BG,2020,10769.9475699414,World Bank API
Bulgaria,BG,2021,12972.2173356002,World Bank API
Bulgaria,BG,2022,13999.6719197289,World Bank API
Bulgaria,BG,2023,15883.8618545581,World Bank API
Bulgaria,BG,2024,17412.4115085691,World Bank API
Croatia,HR,2015,12285.3032582105,World Bank API
Croatia,HR,2016,12821.1738140304,World Bank API
Croatia,HR,2017,13902.6310485422,World Bank API
Croatia,HR,2018,15460.4183295843,World Bank API
Croatia,HR,2019,15563.8167397199,World Bank API
Croatia,HR,2020,14808.4620188819,World Bank API
Croatia,HR,2021,17789.9304736722,World Bank API
Croatia,HR,2022,18466.0955472648,World Bank API
Croatia,HR,2023,21865.4562838641,World Bank API
Croatia,HR,2024,23931.4528382746,World Bank API
Cyprus,CY,2015,23487.228515625,World Bank API
Cyprus,CY,2016,24715.154296875,World Bank API
Cyprus,CY,2017,26696.990234375,World Bank API
Cyprus,CY,2018,29599.986328125,World Bank API
Cyprus,CY,2019,29703.052734375,World Bank API
Cyprus,CY,2020,28649.015625,World Bank API
Cyprus,CY,2021,33734.03515625,World Bank API
Cyprus,CY,2022,33894.44921875,World Bank API
Cyprus,CY,2023,36551.41796875,World Bank API
Cyprus,CY,2024,38654.16796875,World Bank API
Czechia,CZ,2015,17931.5987670768,World Bank API
Czechia,CZ,2016,18753.9686718096,World Bank API
Czechia,CZ,2017,20913.197632212,World Bank API
Czechia,CZ,2018,23705.9329811299,World Bank API
Czechia,CZ,2019,24062.7190013343,World Bank API
Czechia,CZ,2020,23472.8915454417,World Bank API
Czechia,CZ,2021,27696.4619527544,World Bank API
Czechia,CZ,2022,28282.2236715857,World Bank API
Czechia,CZ,2023,31591.0568216357,World Bank API
Czechia,CZ,2024,31706.6234229743,World Bank API
Denmark,DK,2015,53094.0133607574,World Bank API
Denmark,DK,2016,54500.9260410217,World Bank API
Denmark,DK,2017,57521.5514992225,World Bank API
Denmark,DK,2018,61324.7665045565,World Bank API
Denmark,DK,2019,59404.2663247723,World Bank API
Denmark,DK,2020,60985.4885601514,World Bank API
Denmark,DK,2021,69727.9873677012,World Bank API
Denmark,DK,2022,68091.3191138669,World Bank API
Denmark,DK,2023,68453.8769281145,World Bank API
Denmark,DK,2024,71851.7562131368,World Bank API
Estonia,EE,2015,17722.1557669523,World Bank API
Estonia,EE,2016,18666.3736521706,World Bank API
Estonia,EE,2017,20851.5223496861,World Bank API
Estonia,EE,2018,23618.1361254581,World Bank API
Estonia,EE,2019,24021.2501413306,World Bank API
Estonia,EE,2020,23933.9939421065,World Bank API
Estonia,EE,2021,27953.7670230126,World Bank API
Estonia,EE,2022,28451.1477825175,World Bank API
Estonia,EE,2023,30133.304450454,World Bank API
Estonia,EE,2024,31170.0915091887,World Bank API
Finland,FI,2015,42560.3456767103,World Bank API
Finland,FI,2016,43451.2562442158,World Bank API
Finland,FI,2017,46085.0174739036,World Bank API
Finland,FI,2018,49654.2497035329,World Bank API
Finland,FI,2019,48358.1807773701,World Bank API
Finland,FI,2020,48828.6846862799,World Bank API
