country_name,iso3,year,public_expenditure_usd_per_capita,private_expenditure_usd_per_capita,expenditure_per_capita_usd,public_share_pct,source
Austria,AUT,2015,61.32,75.64,136.95,44.8,Estimated based on European trends
Austria,AUT,2016,67.35,83.99,151.34,44.5,Estimated based on European trends
Austria,AUT,2017,68.3,92.18,160.48,42.6,Estimated based on European trends
Austria,AUT,2018,70.56,92.24,162.8,43.3,Estimated based on European trends
Austria,AUT,2019,74.99,81.74,156.74,47.8,Estimated based on European trends
Austria,AUT,2020,58.13,89.69,147.82,39.3,Estimated based on European trends
Austria,AUT,2021,66.04,81.11,147.16,44.9,Estimated based on European trends
Austria,AUT,2022,73.08,89.71,162.79,44.9,Estimated based on European trends
Austria,AUT,2023,77.58,92.02,169.6,45.7,Estimated based on European trends
Austria,AUT,2024,89.53,92.69,182.22,49.1,Estimated based on European trends
Belgium,BEL,2015,65.81,88.01,153.82,42.8,Estimated based on European trends
Belgium,BEL,2016,66.58,88.11,154.69,43.0,Estimated based on European trends
Belgium,BEL,2017,57.01,95.94,152.95,37.3,Estimated based on European trends
Belgium,BEL,2018,70.74,99.04,169.78,41.7,Estimated based on European trends
Belgium,BEL,2019,64.19,88.32,152.5,42.1,Estimated based on European trends
Belgium,BEL,2020,62.51,75.68,138.19,45.2,Estimated based on European trends
Belgium,BEL,2021,68.01,74.02,142.04,47.9,Estimated based on European trends
Belgium,BEL,2022,76.64,90.81,167.44,45.8,Estimated based on European trends
Belgium,BEL,2023,75.37,85.58,160.95,46.8,Estimated based on European trends
Belgium,BEL,2024,69.64,103.18,172.82,40.3,Estimated based on European trends
Bulgaria,BGR,2015,23.36,31.7,55.05,42.4,Estimated based on European trends
Bulgaria,BGR,2016,19.4,40.68,60.09,32.3,Estimated based on European trends
Bulgaria,BGR,2017,24.05,41.45,65.5,36.7,Estimated based on European trends
Bulgaria,BGR,2018,25.14,38.37,63.51,39.6,Estimated based on European trends
Bulgaria,BGR,2019,24.28,42.77,67.04,36.2,Estimated based on European trends
Bulgaria,BGR,2020,21.6,33.5,55.1,39.2,Estimated based on European trends
Bulgaria,BGR,2021,18.68,37.51,56.19,33.2,Estimated based on European trends
Bulgaria,BGR,2022,27.49,39.32,66.81,41.1,Estimated based on European trends
Bulgaria,BGR,2023,26.17,45.53,71.7,36.5,Estimated based on European trends
Bulgaria,BGR,2024,24.45,49.29,73.74,33.2,Estimated based on European trends
Croatia,HRV,2015,34.63,44.68,79.31,43.7,Estimated based on European trends
Croatia,HRV,2016,34.09,50.44,84.53,40.3,Estimated based on European trends
Croatia,HRV,2017,33.18,53.92,87.1,38.1,Estimated based on European trends
Croatia,HRV,2018,38.62,48.65,87.27,44.3,Estimated based on European trends
Croatia,HRV,2019,39.73,52.87,92.6,42.9,Estimated based on European trends
Croatia,HRV,2020,33.2,44.44,77.64,42.8,Estimated based on European trends
Croatia,HRV,2021,28.86,43.96,72.82,39.6,Estimated based on European trends
Croatia,HRV,2022,39.79,61.86,101.65,39.1,Estimated based on European trends
Croatia,HRV,2023,38.25,53.85,92.1,41.5,Estimated based on European trends
Croatia,HRV,2024,41.21,52.64,93.85,43.9,Estimated based on European trends
Cyprus,CYP,2015,33.71,60.01,93.72,36.0,Estimated based on European trends
Cyprus,CYP,2016,38.81,55.11,93.92,41.3,Estimated based on European trends
Cyprus,CYP,2017,40.04,56.58,96.62,41.4,Estimated based on European trends
Cyprus,CYP,2018,42.32,62.95,105.27,40.2,Estimated based on European trends
Cyprus,CYP,2019,44.28,69.74,114.02,38.8,Estimated based on European trends
Cyprus,CYP,2020,36.74,62.27,99.01,37.1,Estimated based on European trends
Cyprus,CYP,2021,32.85,59.33,92.18,35.6,Estimated based on European trends
Cyprus,CYP,2022,39.63,73.38,113.01,35.1,Estimated based on European trends
Cyprus,CYP,2023,46.82,60.25,107.07,43.7,Estimated based on European trends
Cyprus,CYP,2024,50.88,78.74,129.62,39.3,Estimated based on European trends
Czechia,CZE,2015,37.88,54.19,92.07,41.1,Estimated based on European trends
Czechia,CZE,2016,33.09,48.03,81.12,40.8,Estimated based on European trends
Czechia,CZE,2017,32.19,53.91,86.1,37.4,Estimated based on European trends
Czechia,CZE,2018,35.4,60.64,96.05,36.9,Estimated based on European trends
Czechia,CZE,2019,43.07,64.57,107.65,40.0,Estimated based on European trends
Czechia,CZE,2020,35.23,56.04,91.27,38.6,Estimated based on European trends
Czechia,CZE,2021,36.85,44.9,81.75,45.1,Estimated based on European trends
Czechia,CZE,2022,35.37,66.29,101.66,34.8,Estimated based on European trends
Czechia,CZE,2023,36.01,70.52,106.53,33.8,Estimated based on European trends
Czechia,CZE,2024,42.5,63.0,105.49,40.3,Estimated based on European trends
Denmark,DNK,2015,82.12,98.83,180.95,45.4,Estimated based on European trends
Denmark,DNK,2016,74.84,105.9,180.74,41.4,Estimated based on European trends
Denmark,DNK,2017,92.07,113.74,205.81,44.7,Estimated based on European trends
Denmark,DNK,2018,74.95,107.4,182.36,41.1,Estimated based on European trends
Denmark,DNK,2019,91.16,97.63,188.79,48.3,Estimated based on European trends
Denmark,DNK,2020,78.53,80.68,159.21,49.3,Estimated based on European trends
Denmark,DNK,2021,67.24,81.81,149.05,45.1,Estimated based on European trends
Denmark,DNK,2022,89.84,118.15,207.99,43.2,Estimated based on European trends
Denmark,DNK,2023,90.31,116.24,206.54,43.7,Estimated based on European trends
Denmark,DNK,2024,87.6,103.69,191.28,45.8,Estimated based on European trends
Estonia,EST,2015,39.55,54.8,94.35,41.9,Estimated based on European trends
Estonia,EST,2016,37.78,48.41,86.19,43.8,Estimated based on European trends
Estonia,EST,2017,35.83,62.99,98.82,36.3,Estimated based on European trends
Estonia,EST,2018,41.55,59.39,100.94,41.2,Estimated based on European trends
Estonia,EST,2019,40.53,63.23,103.76,39.1,Estimated based on European trends
Estonia,EST,2020,35.4,42.92,78.32,45.2,Estimated based on European trends
Estonia,EST,2021,40.81,44.81,85.62,47.7,Estimated based on European trends
Estonia,EST,2022,41.67,66.58,108.25,38.5,Estimated based on European trends
Estonia,EST,2023,48.95,67.47,116.42,42.0,Estimated based on European trends
Estonia,EST,2024,42.04,60.85,102.9,40.9,Estimated based on European trends
Finland,FIN,2015,79.59,84.97,164.56,48.4,Estimated based on European trends
Finland,FIN,2016,69.19,99.41,168.61,41.0,Estimated based on European trends
Finland,FIN,2017,87.67,93.91,181.58,48.3,Estimated based on European trends
Finland,FIN,2018,89.18,88.05,177.22,50.3,Estimated based on European trends
Finland,FIN,2019,90.73,98.14,188.87,48.0,Estimated based on European trends
Finland,FIN,2020,76.42,81.09,157.51,48.5,Estimated based on European trends
Finland,FIN,2021,60.36,84.44,144.8,41.7,Estimated based on European trends
Finland,FIN,2022,77.05,109.37,186.42,41.3,Estimated based on European trends
Finland,FIN,2023,95.65,97.95,193.61,49.4,Estimated based on European trends
Finland,FIN,2024,85.69,108.91,194.6,44.0,Estimated based on European trends
France,FRA,2015,66.68,87.01,153.69,43.4,Estimated based on European trends
France,FRA,2016,55.13,75.91,131.04,42.1,Estimated based on European trends
France,FRA,2017,60.04,94.62,154.67,38.8,Estimated based on European trends
France,FRA,2018,59.77,91.82,151.6,39.4,Estimated based on European trends
France,FRA,2019,56.03,88.54,144.57,38.8,Estimated based on European trends
France,FRA,2020,58.04,91.17,149.21,38.9,Estimated based on European trends
France,FRA,2021,56.75,80.68,137.43,41.3,Estimated based on European trends
France,FRA,2022,65.09,88.62,153.7,42.3,Estimated based on European trends
