country_name,iso3,year,fifa_rank,fifa_points,fifa_points
Spain,ESP,2015-03-01,2,1786,1786
Portugal,PRT,2015-03-01,3,1748,1748
Netherlands,NLD,2015-03-01,4,1738,1738
Belgium,BEL,2015-03-01,5,1717,1717
France,FRA,2015-03-01,6,1685,1685
Italy,ITA,2015-03-01,7,1656,1656
Germany,DEU,2015-03-01,8,1637,1637
Croatia,HRV,2015-03-01,9,1620,1620
Switzerland,CHE,2015-03-01,10,1571,1571
Austria,AUT,2015-03-01,11,1535,1535
Denmark,DNK,2015-03-01,12,1530,1530
Serbia,SRB,2015-03-01,13,1492,1492
Czech Republic,CZE,2015-03-01,14,1490,1490
Ukraine,UKR,2015-03-01,15,1458,1458
Sweden,SWE,2015-03-01,16,1457,1457
Norway,NOR,2015-03-01,17,1440,1440
Poland,POL,2015-03-01,18,1396,1396
Slovakia,SVK,2015-03-01,19,1387,1387
Hungary,HUN,2015-03-01,20,1376,1376
Greece,GRC,2015-03-01,21,1332,1332
Romania,ROU,2015-03-01,22,1317,1317
Ireland,IRL,2015-03-01,23,1268,1268
Slovenia,SVN,2015-03-01,24,1266,1266
Bulgaria,BGR,2015-03-01,25,1265,1265
Finland,FIN,2015-03-01,26,1250,1250
Belgium,BEL,2015-06-01,1,1803,1803
Spain,ESP,2015-06-01,2,1784,1784
Netherlands,NLD,2015-06-01,3,1759,1759
Portugal,PRT,2015-06-01,4,1750,1750
France,FRA,2015-06-01,5,1715,1715
Croatia,HRV,2015-06-01,6,1706,1706
Germany,DEU,2015-06-01,7,1681,1681
Italy,ITA,2015-06-01,9,1668,1668
Denmark,DNK,2015-06-01,10,1644,1644
Austria,AUT,2015-06-01,11,1534,1534
Switzerland,CHE,2015-06-01,12,1511,1511
Czech Republic,CZE,2015-06-01,13,1472,1472
Poland,POL,2015-06-01,14,1421,1421
Hungary,HUN,2015-06-01,15,1413,1413
Sweden,SWE,2015-06-01,16,1398,1398
Serbia,SRB,2015-06-01,17,1395,1395
Ukraine,UKR,2015-06-01,18,1391,1391
Slovakia,SVK,2015-06-01,19,1368,1368
Norway,NOR,2015-06-01,20,1365,1365
Romania,ROU,2015-06-01,21,1337,1337
Finland,FIN,2015-06-01,22,1330,1330
Ireland,IRL,2015-06-01,23,1308,1308
Greece,GRC,2015-06-01,24,1299,1299
Bulgaria,BGR,2015-06-01,25,1242,1242
Slovenia,SVN,2015-06-01,26,1219,1219
Belgium,BEL,2015-09-01,1,1810,1810
France,FRA,2015-09-01,2,1765,1765
Netherlands,NLD,2015-09-01,3,1737,1737
Italy,ITA,2015-09-01,5,1717,1717
Portugal,PRT,2015-09-01,6,1660,1660
Croatia,HRV,2015-09-01,7,1655,1655
Spain,ESP,2015-09-01,8,1650,1650
Germany,DEU,2015-09-01,9,1577,1577
Denmark,DNK,2015-09-01,10,1520,1520
Switzerland,CHE,2015-09-01,11,1498,1498
Ukraine,UKR,2015-09-01,12,1491,1491
Austria,AUT,2015-09-01,13,1481,1481
Czech Republic,CZE,2015-09-01,14,1461,1461
Hungary,HUN,2015-09-01,15,1458,1458
Sweden,SWE,2015-09-01,16,1421,1421
Poland,POL,2015-09-01,17,1411,1411
Serbia,SRB,2015-09-01,18,1382,1382
Romania,ROU,2015-09-01,19,1378,1378
Slovakia,SVK,2015-09-01,20,1348,1348
Ireland,IRL,2015-09-01,21,1334,1334
Norway,NOR,2015-09-01,22,1312,1312
Slovenia,SVN,2015-09-01,23,1295,1295
Bulgaria,BGR,2015-09-01,24,1291,1291
Finland,FIN,2015-09-01,25,1248,1248
Greece,GRC,2015-09-01,26,1201,1201
Belgium,BEL,2015-12-01,1,1808,1808
France,FRA,2015-12-01,2,1782,1782
Spain,ESP,2015-12-01,3,1742,1742
Portugal,PRT,2015-12-01,5,1715,1715
Italy,ITA,2015-12-01,6,1713,1713
Germany,DEU,2015-12-01,7,1646,1646
Netherlands,NLD,2015-12-01,8,1632,1632
Croatia,HRV,2015-12-01,9,1583,1583
Denmark,DNK,2015-12-01,10,1574,1574
Switzerland,CHE,2015-12-01,11,1545,1545
Poland,POL,2015-12-01,12,1532,1532
Austria,AUT,2015-12-01,13,1530,1530
Ukraine,UKR,2015-12-01,14,1456,1456
Sweden,SWE,2015-12-01,15,1427,1427
Ireland,IRL,2015-12-01,16,1397,1397
Serbia,SRB,2015-12-01,17,1397,1397
Norway,NOR,2015-12-01,18,1365,1365
Romania,ROU,2015-12-01,19,1363,1363
Czech Republic,CZE,2015-12-01,20,1345,1345
Hungary,HUN,2015-12-01,21,1344,1344
Greece,GRC,2015-12-01,22,1336,1336
Slovenia,SVN,2015-12-01,23,1327,1327
Slovakia,SVK,2015-12-01,24,1255,1255
Finland,FIN,2015-12-01,25,1220,1220
Bulgaria,BGR,2015-12-01,26,1201,1201
Spain,ESP,2016-03-01,1,1778,1778
Belgium,BEL,2016-03-01,3,1723,1723
Netherlands,NLD,2016-03-01,4,1704,1704
Italy,ITA,2016-03-01,5,1693,1693
France,FRA,2016-03-01,6,1689,1689
Portugal,PRT,2016-03-01,7,1666,1666
Croatia,HRV,2016-03-01,8,1616,1616
Denmark,DNK,2016-03-01,9,1585,1585
Germany,DEU,2016-03-01,10,1538,1538
Austria,AUT,2016-03-01,11,1502,1502
Switzerland,CHE,2016-03-01,12,1489,1489
Czech Republic,CZE,2016-03-01,13,1480,1480
Ukraine,UKR,2016-03-01,14,1475,1475
Poland,POL,2016-03-01,15,1465,1465
Norway,NOR,2016-03-01,16,1457,1457
Romania,ROU,2016-03-01,17,1431,1431
Serbia,SRB,2016-03-01,18,1409,1409
Sweden,SWE,2016-03-01,19,1407,1407
Hungary,HUN,2016-03-01,20,1384,1384
Slovenia,SVN,2016-03-01,21,1345,1345
Slovakia,SVK,2016-03-01,22,1343,1343
Ireland,IRL,2016-03-01,23,1330,1330
Finland,FIN,2016-03-01,24,1302,1302
Bulgaria,BGR,2016-03-01,25,1246,1246
Greece,GRC,2016-03-01,26,1236,1236
France,FRA,2016-06-01,1,1782,1782
Italy,ITA,2016-06-01,2,1763,1763
Spain,ESP,2016-06-01,3,1754,1754
Belgium,BEL,2016-06-01,4,1733,1733
Croatia,HRV,2016-06-01,6,1721,1721
Portugal,PRT,2016-06-01,7,1655,1655
Netherlands,NLD,2016-06-01,8,1622,1622
Denmark,DNK,2016-06-01,9,1613,1613
Switzerland,CHE,2016-06-01,10,1581,1581
Germany,DEU,2016-06-01,11,1535,1535
