ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,time,obs_value,obs_status,obs_status.label,note_indicator,note_indicator.label,note_source,note_source.label,country_name,year,youth_unemployment_rate_pct,age_group,age_min,age_max
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_15_24,Age (Youth bands): Youth (15-24),2015,25.9,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,25.9,Age (Youth bands): Youth (15-24),15,24
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_15_24,Age (Youth bands): Youth (15-24),2015,24.6,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,24.6,Age (Youth bands): Youth (15-24),15,24
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_15_24,Age (Youth bands): Youth (15-24),2015,27.2,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,27.2,Age (Youth bands): Youth (15-24),15,24
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,10.9,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,10.9,Age (Broad groups): Prime age (25-54) (25-34),25,34
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,10.3,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,10.3,Age (Broad groups): Prime age (25-54) (25-34),25,34
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,11.4,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,11.4,Age (Broad groups): Prime age (25-54) (25-34),25,34
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_35_44,Age (Broad groups): Prime age (25-54) (35-44),2015,8.5,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,8.5,Age (Broad groups): Prime age (25-54) (35-44),35,44
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_35_44,Age (Broad groups): Prime age (25-54) (35-44),2015,8.0,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,8.0,Age (Broad groups): Prime age (25-54) (35-44),35,44
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_35_44,Age (Broad groups): Prime age (25-54) (35-44),2015,8.9,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,8.9,Age (Broad groups): Prime age (25-54) (35-44),35,44
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_45_54,Age (Broad groups): Prime age (25-54) (45-54),2015,8.0,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,8.0,Age (Broad groups): Prime age (25-54) (45-54),45,54
